video_id,clean_text,final_label
0I9qt2YQlvM,يا رب يرزقك الخير والبركه يا أستاذ على,positive
0I9qt2YQlvM,تعليم هذا البرنامج باللغة العربية لنتمكن خطوه خطوه,negative
0I9qt2YQlvM,عاشت ايدك شرح مفصل ومفهوم,positive
0I9qt2YQlvM,شرح واضح ومباشر وجميل كفيت ووفيت تسلم عيونك وروحك,positive
0I9qt2YQlvM,حياك الله ياولدي وكثر من امثالك نتمنى إليك الصحة والتوفيق امرأة مسنة,neutral
0I9qt2YQlvM,جزاك الله خيرا على المعلومات القيمة و الشرح المبسط وفقك الله تعالى شكرا مرة اخرى,positive
0I9qt2YQlvM,شكرا أستاذ علي الحقيقة أنني استفدت منك وجزاك الله كل خير,positive
0I9qt2YQlvM,محاضرة مركزة ومختصرة وشمل الكثير من المعلومات التي تجعلنا نفهم مبادئ تعلم الذكاء الاصطناعي,negative
0I9qt2YQlvM,لو سمحتو للي عندو جواب صادق وبنفعني يجاوبني الآن انا بدي ادرس تخصص الذكاء الاصطناعي بس ما عندي اي فكرة عنو ولا اي نبذة لكن بحبو كتخصص السؤال عادي اني ادخل تخصص انا ما بعرف عنو اشي لسا ؟؟,negative
0I9qt2YQlvM,لو عاوزة استخدم الذكاء الاصطناعي في العملية التعليمية وخاصة التجارب الكيميائية ايه البراج اللي استخدمها,negative
0I9qt2YQlvM,ازاي استخدم الذكاء الاصطناعي في مجال التعليم وشكرا لك,neutral
0I9qt2YQlvM,شرحك مفصل وكلامك جدا جميل شكرا,positive
0I9qt2YQlvM,بصراحة طريقة شرحك مملة و الكلام غير مترابط غير انه المادة صعبة علي إنسان مبتدأ جاني احباط,negative
0I9qt2YQlvM,طرح رائع للذكاء الاصطناعي أنا دكتور في مجال الذكاء الاصطناعي في جامعة القاهرة و باحث في بريطانيا، و بحاول أشرح الأساسيات الرياضية اللي ورا النماذج دي بالعربي، بشكل مبسط و عملي فيه سلسلة اسمها شرح الأساسيات الرياضية للذكاء الاصطناعي و تعلم الآلة بالعربي على قناتي لو حابب تتعمق و تشوف الجانب الرياضي أكتر، أهلاً وسهلاً,positive
0I9qt2YQlvM,هذه الكورسات يجب أن اتعلمها بالترتيب التسلسلي او عشوائي أو بالتوازي؟ اسف لك اتمكن من قراءة جميع التعليقات يمكن فيها سؤال مشابه لسؤالي,neutral
0I9qt2YQlvM,شرحك تقيل و رخم,negative
0I9qt2YQlvM,طول غمرى ف التعليم بشيل ملاحق ف الرياضه احيه,neutral
0I9qt2YQlvM,سلام عليكم شكرأ جزيلا على الشرح انا عايز اتعلم ما معنى الذكاء الاصطناعي,negative
0I9qt2YQlvM,انا عمري وقريبا حبيت اشكرك على الشرح الجميل والبسيط عشان انت عندك اسهل شرح وجدته وفهمته لحد الان وانشاء الله رح اعمل كل الي قلتو,positive
0I9qt2YQlvM,الذكاء الاصطناعي وتطوير التعليم والتعلم,neutral
0I9qt2YQlvM,ممكن حضرتك كورسات لذكاء الاصطناعي شرح بالعربي والانجليزي مجانا على اليوتيوب ؟,negative
0I9qt2YQlvM,شكرا جزيلا على الشرح الجميل،،,positive
0I9qt2YQlvM,شكرا جزيلا على الشرح الرائع,positive
0I9qt2YQlvM,شكراً على الشرح الرائع,positive
0I9qt2YQlvM,ماشاء الله عليك شرح مفصل وبسيط وشامل لجميع جوانب الموضوع شكرا لك,positive
0I9qt2YQlvM,انت تستهال كفايه شرحك,neutral
0I9qt2YQlvM,شاهدت هذا ورجعت له ولازت ادرس البرمجه يا ترى هل أحببتها,neutral
0I9qt2YQlvM,شرح سلس وجميل جدا,positive
0I9qt2YQlvM,ما يفيد كل شي صار بفلوس ، و المشكلة أغلبها خرطي الذي يعلمك هو أصلاً لا يعرف التخصص ، بس يدور فلوس براس الناس تعبت وين ما تروح كلهم كلاوچية ما يفيد إلَّا إذا صاحب القناة يكتبلي و يتعهد بوجود كورسات جيدة و مضمونة لو استمرينا بيها فعلاً ننجح و لكن ملاحظة ، أتكلم عن مجالات مختلفة ليس الذكاء الاصطناعي وحده و كذلك حالياً لا أمتلك حاسوباً حالياً تعطل حاسوبي ، يعني حالياً ما أريد أدخل كورس و كذا,negative
0I9qt2YQlvM,السلام عليكم انا ست كبيرة تعليمي متوسط معنديش خبرة فى و او الكومبيوتر بس نفسي اتعلم الذكاء الاصطناعي علشان اشتغل فري لينسر علشان معاش جوزى صغير ولسه معايا اولاد بتدرس ويا،يت حضرتك تساعدني الف شكر,neutral
j02OZRjf2d8,انا بحاول اعمل محتوي تعليمي,neutral
j02OZRjf2d8,سألت سؤال ام احمد لي شات جي بي تي و قالي اسمه احمد شن رايك يا بوحميد,neutral
j02OZRjf2d8,عم بسيونى بيفكرنى بمدرس الرياضيات,neutral
j02OZRjf2d8,وكمان رد عليا ثاني حلو هاجاوبك بطريقة مستوحاة من أسلوب الدحيح خفيف، شوية سخرية علمية، وشوية فلسفة اجتماعية أول حاجة بسيطة وواضحة زي وضوح صفحة البحث لو في حد اسمه أحمد الرابع ، فـ أم أحمد الرابع ببساطة معناتها زوجة أحمد الرابع أو الست اللي ولدت أحمد الرابع يعني الاسم مش اسم شخصي، ده كُنية أم اسم الابن يعني إجابة حرفية اسم أم أحمد الرابع هو اسم الأم أو الزوجة لواحد اسمه أحمد الرابع طيب، دلوقتي لو الدحيح دخل اللعبة ومستعد يعاجل الواقع بقالب درامي علمي، نلعب شوية افتراضات فكاهية علمية في المجتمع العربي، الكُنى شائعة فـ أم أحمد ممكن تكون واحدة من آلاف أم أحمد لو فيه ترقيم رومانسي زي الأول، الثاني، الثالث، الرابع يبقى إحنا قدام نظام تسجيل بلغ مراحله الرابعة طبعًا ده غير منطقي بس طريف لو عايز تخمين اسم شخصي الاسم الحقيقي لـ أم أحمد الرابع فأكثر الأسماء النسائية الشائعة في العالم العربي فاطمة، عائشة، مريم، سارة فلو هحسبها بحسبة شعبية احتمال كبير تكون واحدة من دول إجابة دحيحية فلسفية الأشخاص ليهم أسماء فعلية، لكن المجتمع مرات بيعرفهم بكُنى ودور أم أحمد بتحكّي عن دور أمومي أكتر ما بتحكي عن الهوية الفردية يبقى السؤال الحقيقي إيه قصة أحمد الرابع؟ وليه له أربعة؟ الخلاصة بسطر واحد دحيحي اسم أم أحمد الرابع الحقيقي غير معلوم ما لم نعالج الحالة التاريخية لِـ أحمد الرابع أما لو الدحيح عايز يضحك الجمهور، يرد اسمها فاطمة، لأنها فاطمة دايمًا بتتصدر الاستفتاء الشعبي عايز أكتبلَك رد كامل بنفس أسلوب فيديو الدحيح مقدمة، لقطات درامية، خاتمة فلسفية تقدّر تستخدمه ككوميك أو ستاتوس؟,negative
j02OZRjf2d8,اناسألته سؤال من نوعية أسئلة الدحيح فعلاً بس خلينا نحللها بالعقل الدحيحي لو في أم أحمد الرابع ، فده معناه إن في أم أحمد الأولى أم أحمد الثانية أم أحمد الثالثة أم أحمد الرابعة وطبعًا اسم أم أحمد الرابع هو زوجة أحمد الرابع بس بما إن الدحيح دايمًا بيقلبها فذلكة علمية، فممكن يجاوبك اسم أم أحمد الرابع هو نفس اسم أم أحمد الثالث، بس بعد ما حصلت طفرة تطورية في تسلسل الأمهات تحب أجاوبك بنفس أسلوب الدحيح الكامل؟,negative
j02OZRjf2d8,جميل كالعادة بس من رأيي الحلقة كانت محتاجة شرح و تفاصيل عن كدا,positive
j02OZRjf2d8,بيعرف يعمل أي حاجة ماعدا إنه يحل الواجب بيحل ساعات غلط أوي بطريقة غبية,negative
j02OZRjf2d8,طلبت من ال عن حلقة للدحيح تخص الوان الأسماك فيه سؤال بيحيّر العلماء والناس اللي بتحب سمكة النيمو ليه الأسماك دي عاملة زي رسمة طفل عنده ماركرز كتير؟ يعني السمكة المفروض تتخبى، مش تتشيك إزاي بتعيش وسط القروش والوحوش وهي لابسة فوشيا؟ هل في البحر فيه ديفايلّي مش احنا؟ طب هل الألوان دي جمال ولا سلاح؟ تعالوا نفهم إزاي الألوان في أعماق البحر مش بس شياكة دي كمان حياة أو موت أولاً الألوان مش كماليات أول حاجة لازم نعرفها، إن البحر مش بحر يعني، إحنا شايفينه أزرق، بس الحقيقة إن الضوء بيتصفى تحت الميّة الأحمر أول لون بيختفي، بعده البرتقالي، الأصفر لحد ما توصل للأزرق، اللي بيعيش أطول يعني لو سمكة لونها أحمر وتحت في العمق محدش شايفها وده اسمه يعني سمكة بتقولك أنا حمراء بس بختفي ثانياً الألوان لغة سريّة بعض الأسماك بتستخدم ألوانها كأنها بتكلم بعض في أسماك زي سمكة الماندارين ألوانها بتقول أنا متجوز ابعد وفي سمك بيغير لونه لما يتخانق، ولما يتصالح يعني السمكة عاملة زي الواتساب أزرق فاتح أنا تمام أزرق غامق مش طايقة نفسي وفيه كمان حاجة خطيرة جدًا الأسماك بتشوف طيف ألوان إحنا ما بنشوفهوش زي الـ أو فوق البنفسجي يعني ممكن تكون السمكة شايفة حفلة نيون وإحنا شايفين طحالب بس ثالثاً الألوان تهديد فيه نوع تاني من الأسماك، بيستخدم الألوان للتحذير زي يقولك أنا سام لمّ نفسك وده اسمه في علم البيولوجيا زي سمكة الأسد أو التنين، اللي شكلها عامل زي حنفيّة فيها كهربا دي مش بتخبّي نفسها دي بتقولك أنا كده اقرب جرّب وده سلاح فعال جدًا، لأن المفترس بيتعلم من أول غلطة رابعًا التمثيل مش بس في السينما بعض الأسماك بتتظاهر إنها نوع تاني زي سمكة اسمها دي عاملة نفسها سمكة منظفة فتقرب منها الأسماك التانية تقولها يلا نظفيني ، تقوم هوب تعضها وتخلع يعني سمكة نصابة، بتلبس زي الدليفري وتسرقك الخاتمة في النهاية الأسماك ما بتتلونش عشان تعمل سيلفي دي بتتلوّن عشان تعيش، وتحب، وتخدع، وتتواصل، وتخوف يعني في البحر اللي مش متلون ملهوش مكان,negative
j02OZRjf2d8,لسه كاتب مقال عن فوائد الذكاء الاصطناعي في التعليم وذكرت حاجات مفيدة لو مهتم الرابط,neutral
j02OZRjf2d8,عفكرة انا عملت الاختبار وسألتو عقصة الاولاد والابن الرابع وهو جاوبني صح تقنية تكملة الكلام بقت قديمة وهلق اصبح متطور,negative
